donor_id,age,country,acquisition_channel
429,56,ukraine,
430,46,ukraine,Facebook Ads
431,59,ukraine,Referral
432,43,UK,Email
433,52,UK,Email
434,67,,Facebook Ads
435,42,Poland,Organic
436,41,Germany,Google Ads
437,30,Germany,Email
438,24,ukraine,
439,53,,
440,62,USA,Email
441,37,Poland,Organic
442,18,,Organic
443,25,Poland,Referral
444,63,Poland,
445,33,Poland,Referral
446,31,,
447,29,ukraine,Google Ads
448,68,Germany,Google Ads
449,40,Germany,Facebook Ads
450,32,ukraine,Referral
451,45,Poland,Email
452,51,USA,Referral
453,19,Ukraine,Email
454,49,,Organic
455,40,Ukraine,Referral
456,39,ukraine,Organic
457,68,USA,Google Ads
458,42,,Google Ads
459,39,ukraine,Facebook Ads
460,39,Poland,Referral
461,66,Germany,Organic
462,69,Ukraine,Email
463,59,UK,Google Ads
464,23,UK,Google Ads
465,32,USA,Email
466,60,Poland,Organic
467,54,Ukraine,Organic
468,50,Poland,Referral
469,25,Ukraine,Referral
470,,USA,
471,61,USA,
472,61,UK,Facebook Ads
473,22,Poland,Google Ads
474,56,,Referral
475,21,UK,Organic
476,23,Poland,Email
477,62,UK,Organic
478,49,,Google Ads
479,69,Germany,
480,47,Germany,Organic
481,64,Germany,Facebook Ads
482,52,Germany,Google Ads
483,57,ukraine,
484,69,Ukraine,Email
485,33,ukraine,
486,30,ukraine,Facebook Ads
487,67,ukraine,Google Ads
488,59,Germany,Email
489,47,,Facebook Ads
490,36,USA,
491,34,USA,Facebook Ads
492,36,Ukraine,Google Ads
493,45,Germany,Referral
494,43,Germany,Facebook Ads
495,54,Germany,Facebook Ads
496,43,UK,
497,,Poland,
498,40,UK,Email
499,26,Poland,
500,29,Germany,Organic
238,54,USA,Referral
457,68,USA,Google Ads
228,20,ukraine,
409,20,ukraine,Email
10,40,Ukraine,
211,50,Poland,
447,29,ukraine,Google Ads
95,35,UK,Email
85,48,Ukraine,Organic
390,54,Poland,
415,64,Germany,Google Ads
179,24,USA,Facebook Ads
49,56,ukraine,Email
348,25,Poland,Google Ads
71,57,USA,Facebook Ads
329,42,Ukraine,
428,65,ukraine,Referral
486,30,ukraine,Facebook Ads
418,19,USA,Google Ads
196,42,Germany,Referral
